,Topic,Count,Name
0,-1,16578,-1_joe biden_donald trump_president donald_bernie sander
1,346,2852,346_mueller report_trump campaign_counsel mueller_judiciary committee
2,4,821,4_oil tanker_saudi arabia_strait hormuz_persian gulf
3,210,566,210_public school_college board_college campus_conservative student
4,299,545,299_anti semitic_anti semitism_rashida tlaib_omar tlaib
5,11,377,11_maduro regime_juan guaid_nicolas maduro_venezuelan people
6,220,302,220_mountain lion_animal control_animal cruelty_animal rescue
7,184,263,184_tariff mexico_mexican government_mexico border_state mexico
8,284,259,284_trade war_200 billion_tariff china_xi jinping
9,126,256,126_fossil fuel_carbon emission_carbon tax_greenhouse gas
10,134,253,134_jussie smollett_cook county_chicago police_kim foxx
11,226,246,226_jeffrey epstein_epstein death_sex offender_epstein arrest
12,358,238,358_joe biden_president joe_biden campaign_obama biden
13,58,237,58_apollo 11_moon land_space agency_space program
14,268,229,268_health insurance_private insurance_private health_medicare plan
15,49,221,49_benjamin netanyahu_palestinian authority_israeli sovereignty_israeli prime
16,194,213,194_breast cancer_pancreatic cancer_skin cancer_prostate cancer
17,166,209,166_asylum seeker_trump administration_illegal immigration_immigration system
18,265,208,265_jennifer lopez_alex rodriguez_brady bunch_miley cyrus
19,107,194,107_abortion right_abortion provider_fund abortion_abortion industry
20,237,194,237_gun owner_range breitbartcom_writer curator_curator range
21,119,181,119_kim jong_jong un_trump kim_korean peninsula
22,204,175,204_college admission_admission scandal_olivia jade_admission cheat
23,93,174,93_boris johnson_brexit party_unite kingdom_conservative party
24,298,173,298_houston police_harris county_dallas police_shoot kill
25,89,169,89_hunter biden_biden son_ukrainian president_son hunter
26,209,160,209_beto rourke_ted cruz_rourke campaign_candidate beto
27,208,148,208_storm system_severe storm_tornado touch_tornado warn
28,100,139,100_abortion law_georgia state_georgia abortion_heartbeat abortion
29,225,138,225_hurricane dorian_category storm_hurricane center_national hurricane
30,349,138,349_jim acosta_white house_donald trump_president donald
31,317,138,317_democratic socialism_democratic socialist_socialist policy_socialist country
32,87,137,87_pete buttigieg_mayor pete_bend mayor_bend indiana
33,77,130,77_burger king_fast food_restaurant owner_taco bell
34,205,122,205_el paso_dayton ohio_paso texas_gun violence
35,29,117,29_opioid crisis_purdue pharma_prescription opioid_drug overdose
36,323,115,323_lucy flores_kiss head_inappropriate touch_amy lappos
37,65,113,65_homeless population_homeless crisis_homeless encampment_homelessness crisis
38,360,113,360_elijah cummings_rep elijah_rodent infest_rat rodent
39,365,113,365_kamala harris_candidate debate_debate stage_round debate
40,155,110,155_ice raid_enforcement ice_abolish ice_ice agent
41,36,106,36_right vote_vote right_boston marathon_marathon bomber
42,111,105,111_national prayer_religious liberty_pray president_bible church
43,38,100,38_joaquin castro_julian castro_trump donor_julin castro
44,146,96,146_tax return_trump tax_president tax_tax law
46,281,95,281_hong kong_kong police_kong protest_hong kongers
45,109,95,109_alabama law_abortion law_ban abortion_alabama state
47,140,94,140_southern border_trump national_trump emergency_border emergency
48,90,92,90_transgender people_transgender ideology_transgender individual_transgender troop
49,105,89,105_sex abuse_sexual abuse_sexually abuse_clergy sex
50,68,89,68_tune friend_play stitcher_podcasts google_subscribe apple
51,233,88,233_shark attack_white shark_tiger shark_sea turtle
52,85,88,85_75th anniversary_omaha beach_beach normandy_mark 75th
53,308,87,308_social network_facebook ceo_hate speech_facebook google
54,179,83,179_salute america_july celebration_july 4th_trump july
55,67,82,67_737 max_ethiopian airline_boeing 737_max plane
56,156,82,156_border wall_border barrier_mile border_wall construction
57,48,81,48_zealand mosque_mosque shoot_mosque christchurch_zealand prime
58,61,80,61_tobacco product_flavor cigarette_cigarette use_use cigarette
59,5,78,5_julian assange_wikileaks founder_assange arrest_ecuadorian embassy
60,22,78,22_afghan government_peace talk_talk taliban_taliban leader
61,336,78,336_supreme court_chief justice_court rule_justice gorsuch
62,259,78,259_prince harry_duchess sussex_kate middleton_harry meghan
63,183,75,183_border patrol_patrol agent_mexican national_biometric background
64,24,75,24_san diego_chabad poway_california synagogue_life synagogue
65,122,75,122_brett kavanaugh_female student_sexual assault_kate kelly
66,168,74,168_alyssa milano_woman march_ms america_woman woman
69,26,73,26_sri lanka_sri lankan_attack sri_lanka easter
68,25,73,25_andy ngo_portland police_portland oregon_oregon state
67,231,73,231_sex slave_sex traffic_sex cult_child pornography
70,28,72,28_stacey abrams_georgia gubernatorial_brian kemp_fail georgia
71,54,72,54_camp fire_fire department_super bloom_fire burn
72,318,69,318_basic income_1000 month_freedom dividend_universal basic
73,333,68,333_june 18_18 2019_orlando florida_rally orlando
74,176,67,176_al baghdadi_isis fighter_syria iraq_syrian democratic
75,344,67,344_bernie sander_tax return_release tax_sen bernie
76,148,66,148_medal honor_national cemetery_green beret_military honor
77,186,66,186_border patrol_agent apprehend_patrol agent_paso sector
79,195,65,195_measle case_measle outbreak_mmr vaccine_measle vaccine
78,95,65,95_notre dame_cathedral paris_fire notre_cathedral notre
80,249,64,249_cancel culture_dave chappelle_netflix special_comedy central
81,44,63,44_german government_angela merkel_ambassador germany_german chancellor
82,157,63,157_citizenship question_question census_add citizenship_ask citizenship
83,321,63,321_find dead_paul solomon_body find_betty jeanne
84,7,61,7_dominican republic_dominican authority_tourist death_die dominican
85,10,61,10_castro regime_cuban government_cuban regime_fidel castro
86,213,60,213_weather service_national weather_bomb cyclone_heavy snow
87,274,60,274_trump economy_tax cut_economy trump_hope recession
88,139,59,139_busch win_ford mustang_dodge challenger_motor speedway
91,314,58,314_jones jr_timothy jones_carolina father_lexington home
90,342,58,342_supreme court_court appeal_court justice_specialty court
89,60,58,60_marijuana use_legalize marijuana_medical marijuana_recreational marijuana
92,125,56,125_concentration camp_death camp_camp southern_detention center
93,200,55,200_stem school_school shoot_highland ranch_school highland
95,331,54,331_mortgage fraud_tax fraud_manafort sentence_sentence manafort
96,248,54,248_captain marvel_avenger endgame_spider man_infinity war
94,136,54,136_tea party_debt limit_spend cut_pay family
97,147,53,147_isis fighter_seal eddie_andrea gallagher_seal team
98,324,53,324_challenge trump_bill weld_challenge president_republican primary
99,163,53,163_gulf cartel_cartel gunman_cartel chronicle_texas cartel
100,289,53,289_consumer sentiment_consumer spend_retail sale_consumer price
101,221,50,221_beth chapman_throat cancer_wife beth_dog chapman
105,240,49,240_miss connecticut_gloria farber_connecticut mother_mother jennifer
107,57,49,57_chick fil_antonio council_anti lgbtq_ban chick
106,86,49,86_pete buttigieg_mayor pete_husband chasten_openly gay
103,222,49,222_eat bacterium_thomas joyner_miami beach_boy drown
104,181,49,181_lordstown plant_auto worker_lordstown ohio_gm executive
102,364,49,364_condemn president_july 16_trump tweet_resolution condemn
108,102,48,102_apple watch_apple ceo_apple music_tim apple
109,367,48,367_james eastland_segregationist senator_herman talmadge_eastland talmadge
110,13,47,13_justin trudeau_minister justin_snc lavalin_trudeau liberal
111,2,47,2_buy greenland_purchase greenland_greenland denmark_danish prime
112,112,46,112_freedom religion_religion foundation_american humanist_religious liberty
115,167,45,167_saudi arabia_bin salman_support saudi_mohammed bin
114,185,45,185_jackson lee_descendant slave_black american_sheila jackson
113,279,45,279_taiwan strait_taiwan relation_support taiwan_taiwan china
116,292,44,292_chinese telecom_giant huawei_wireless technology_telecom giant
117,104,43,104_hyde amendment_fund abortion_support hyde_repeal hyde
118,192,43,192_mosquito bear_infect mosquito_tick bear_nile virus
119,1,43,1_tesla ceo_tesla solar_electric car_tesla model
120,62,42,62_air defense_cruise missile_nuclear arm_attack submarine
121,286,42,286_open fire_20 people_paso police_shoot el
122,362,42,362_primary voter_democratic primary_register voter_poll conduct
126,18,41,18_puerto rico_puerto rican_hurricane mare_puerto ricans
125,337,41,337_mitch mcconnell_mcconnell campaign_senate majority_paso dayton
124,23,41,23_afghan government_peace talk_intra afghan_talk taliban
123,15,41,15_waimiri atroari_jair bolsonaro_president jair_rio de
127,0,40,0_rapper ap_swedish prime_rakim mayers_stockholm district
128,180,40,180_border patrol_del rio_sector border_patrol checkpoint
129,325,39,325_special election_dan bishop_congressional district_dan mccready
130,45,38,45_kellyanne conway_conway husband_husband hell_loser husband
131,339,38,339_anthony scaramucci_director anthony_television expert_scaramucci quickly
132,31,37,31_matteo salvini_benito mussolini_alessandra mussolini_minister matteo
133,355,37,355_campaign cash_fundraising figure_raise million_248 million
134,52,37,52_holocaust survivor_concentration camp_andrzej duda_warsaw ghetto
139,312,36,312_sacramento police_officer shoot_chicago police_shoot officer
138,118,36,118_south korea_south korean_kim jong_jong un
136,207,36,207_mount everest_high mountain_climb everest_altitude sickness
137,303,36,303_net neutrality_josh hawley_sen hawley_communication decency
135,131,36,131_ton cocaine_drug bust_cocaine ship_drug traffic
140,128,35,128_greta thunberg_climate activist_16year old_activist greta
141,347,35,347_neo nazis_nazis white_white supremacist_white nationalist
142,215,34,215_debra mess_actress debra_church sign_mess debramessing
143,81,34,81_pride month_lgbt pride_pride parade_gay pride
144,329,34,329_press secretary_house press_white house_sarah sander
145,84,33,84_emmanuel macron_president emmanuel_french wine_american wine
146,41,33,41_minister scott_conservative nationalist_australian prime_rodger muller
147,276,33,276_stoneman douglas_broward county_douglas high_kill 17
148,277,33,277_amazon smile_splc hate_giant amazon_amazon pay
149,235,33,235_philadelphia police_officer trap_philadelphia inquirer_officer shoot
150,69,32,69_masterpiece cakeshop_cake celebrate_would cake_bake cake
151,116,32,116_intermediate range_cruise missile_nuclear force_range nuclear
152,261,32,261_country music_carrie underwood_music award_dolly parton
153,307,32,307_hate agent_candace owens_hate speech_safety twittersafety
157,241,31,241_north dakota_rjr maintenance_17year old_dakota business
160,353,31,353_de niro_stephen colbert_michael cohen_actor de
159,228,31,228_huge alligator_alligator attack_albino alligator_alligator florida
156,361,31,361_biden lead_primary voter_poll biden_poll release
154,254,31,254_harvey weinstein_sexual assault_weinstein lawyer_weinstein sexual
158,311,31,311_lake county_county sheriff_florida man_sheriff office
155,306,31,306_minimum wage_15 hour_field organizer_poverty wage
162,290,30,290_unemployment rate_labor market_unemployment benefit_jobless claim
163,193,30,193_al qaeda_terrorist attack_plot bomb_attack york
164,196,30,196_leave grass_jerome hudson_walt whitman_book 50
165,188,30,188_2019 spring_2019 webathon_spring 2019_19 west
166,99,30,99_baptist church_church opelousas_church fire_union baptist
167,14,30,14_political prisoner_daniel ortega_costa rica_inter american
161,206,30,206_sea ice_ice shelf_ice sheet_ice age
171,79,29,79_eric garner_daniel pantaleo_rape kit_officer daniel
173,88,29,88_minister viktor_viktor orbn_hungarian government_viktor orban
172,108,29,108_abortion clinic_clinic license_perform abortion_fail abortion
169,56,29,56_las vega_facebook event_event viral_51 event
170,127,29,127_hatch act_kellyanne conway_ms conway_violate hatch
168,272,29,272_marianne williamson_dark psychic_psychic force_harness love
174,199,28,199_crime family_staten island_gambino crime_gambino family
175,368,28,368_oppose bus_school bus_voluntary bus_integrate public
176,341,28,341_mitch mcconnell_senate majority_senate democrat_senate rule
177,187,28,187_border patrol_border protection_custom border_homeland security
184,301,27,301_google search_search engine_google ceo_bias google
182,20,27,20_walker lindh_american taliban_mike spann_lindh release
183,288,27,288_timmothy pitzen_fry pitzen_illinois boy_pitzen disappear
185,247,27,247_walt disney_theme park_extra magic_roller coaster
181,283,27,283_de blasio_york mayor_mayor bill_blasio tucker
179,152,27,152_food process_koch food_illegal alien_680 illegal
178,269,27,269_student loan_student debt_loan debt_debt relief
180,244,27,244_nbc universal_dark phoenix_zombie cell_kill deplorables
186,178,26,178_illegal alien_alien release_alien interior_illegal immigration
187,142,26,142_el salvador_guatemalan government_embassy jerusalem_claim migrant
193,35,25,35_nypd officer_water douse_mayor bill_bucket water
196,330,25,330_popular vote_electoral vote_honest discussion_honest conversation
195,96,25,96_maine state_league maine_maine woman_report maine
194,356,25,356_fix totally_totally break_crime infest_break crime
191,223,25,223_crow member_boat fire_diva boat_california diva
192,266,25,266_katy perry_taylor swift_miley cyrus_lady gaga
190,117,25,117_otto warmbier_north korean_evil regime_kim evil
189,334,25,334_march 28_trump rally_rally trump_manchester hampshire
188,16,25,16_buenos aires_argentina uruguay_latin america_mauricio macri
202,82,24,82_steve bullock_gov steve_montana governor_montana gov
206,94,24,94_plan parenthood_abortion clinic_pray outside_woman pray
205,197,24,197_da vinci_leonardo da_oil canvas_art history
203,354,24,354_david letterman_rob reiner_donald trump_soulless bastard
204,177,24,177_john hickenlooper_colorado governor_hickenlooper video_hickenlooper announce
201,256,24,256_kanye west_kim kardashian_kardashian west_wife kim
197,278,24,278_falun gong_uighur muslim_xinjiang province_situation xinjiang
199,39,24,39_friday pbs_columnist david_ianhanchett friday_pbs newshour
198,202,24,202_magnitude earthquake_los angeles_mojave desert_kern county
200,224,24,224_tropical storm_storm barry_storm surge_hurricane season
207,121,23,121_sanctuary ban_bear population_sanctuary policy_florida state
208,280,23,280_tiananmen square_chinese communist_30th anniversary_xi jinping
209,133,23,133_firearm store_walmart stop_sell gun_walmart employee
210,171,23,171_illegal immigrant_health insurance_income illegal_19 25
211,230,23,230_kelly arrest_kelly charge_kelly attorney_kelly plead
212,91,23,91_queen elizabeth_buckingham palace_elizabeth ii_royal family
217,9,22,9_baltimore mayor_catherine pugh_mayor catherine_maryland medical
220,313,22,313_shoot fatally_old man_fatally weekend_chicago sun
219,50,22,50_hunter biden_james biden_rosemont seneca_frey azzam
218,132,22,132_covington catholic_nicholas sandmann_covington student_catholic high
214,66,22,66_helicopter crash_plane crash_crash site_sightsee helicopter
216,229,22,229_rat snake_venomous snake_snake bite_snake slither
215,294,22,294_trump tax_loss tax_estate developer_tax information
213,3,22,3_howard schultz_starbucks ceo_ceo howard_independent bid
227,75,21,75_food stamp_stamp program_nutrition assistance_supplemental nutrition
231,47,21,47_boko haram_nigerian government_muhammadu buhari_president muhammadu
230,201,21,201_italian american_weak brother_right fredo_fredo godfather
229,322,21,322_anita hill_confirmation hear_thomas confirmation_believe anita
228,70,21,70_anheuser busch_craft brewery_craft beer_craft brewer
226,42,21,42_tempe police_customer feel_coffee chain_oat milk
224,32,21,32_koch brother_david koch_koch network_brother network
223,153,21,153_02072019 rep_visa worker_contract worker_h1b visa
222,263,21,263_garlic festival_gilroy garlic_festival shoot_food festival
225,169,21,169_f35 fighter_turkish president_fighter jet_russian s400
221,51,21,51_fix va_veteran affair_veteran choice_va health
246,63,20,63_flight attendant_unite airline_flight crow_female pilot
240,297,20,297_police oklahoma_devaughn smith_oklahoma state_hugo police
245,8,20,8_britney spear_jamie spear_jamie lynn_spear father
244,33,20,33_autonomous weapon_robotic team_artificial intelligence_killer robot
243,17,20,17_global health_cyclone idai_ebola outbreak_president mugabe
242,203,20,203_illegal alien_allegedly rape_degree rape_carrasco hernandez
241,137,20,137_native american_cherokee nation_rachel dolezal_dna test
239,271,20,271_john bolton_bolton departure_adviser john_trump bolton
